TEST\DB,MySQL,PostgreSQL,SQLite
1,416.32,114.683792,13.55840282
2,626.17,743.887108,38.04161753
3,673.4,258.102615,39.1895599
4,353.23,106.389815,14.99587613
5,9433.96,30769.23077,69.93985173
6,19.56,0.030325,5.392056422
